records,phase,workload,operation,runs,rust_go_binding_median_ns_per_op,native_go_median_ns_per_op,winner,winner_speedup
5000000,fresh,append,point_read,3,1083.535,1711.859,rust-go-binding,1.580
5000000,fresh,append,range_scan,3,37.118,38.514,rust-go-binding,1.038
5000000,fresh,append,write,3,543.946,6862.092,rust-go-binding,12.615
5000000,fresh,clustered,point_read,3,1084.941,1755.932,rust-go-binding,1.618
5000000,fresh,clustered,range_scan,3,37.477,38.954,rust-go-binding,1.039
5000000,fresh,clustered,write,3,688.878,3949.681,rust-go-binding,5.733
5000000,fresh,random,point_read,3,1101.378,1761.761,rust-go-binding,1.600
5000000,fresh,random,range_scan,3,34.704,38.407,rust-go-binding,1.107
5000000,fresh,random,write,3,1057.872,5274.734,rust-go-binding,4.986
5000000,mutation,append,point_read,3,345.995,686.786,rust-go-binding,1.985
5000000,mutation,append,range_scan,3,37.811,39.260,rust-go-binding,1.038
5000000,mutation,append,write,3,557.849,3000.751,rust-go-binding,5.379
5000000,mutation,clustered,point_read,3,323.642,662.810,rust-go-binding,2.048
5000000,mutation,clustered,range_scan,3,37.086,39.168,rust-go-binding,1.056
5000000,mutation,clustered,write,3,777.789,2478.010,rust-go-binding,3.186
5000000,mutation,random,point_read,3,1238.854,2198.142,rust-go-binding,1.774
5000000,mutation,random,range_scan,3,38.443,40.997,rust-go-binding,1.066
5000000,mutation,random,write,3,2617.818,4150.425,rust-go-binding,1.585
10000000,fresh,append,point_read,3,1171.697,1840.136,rust-go-binding,1.570
10000000,fresh,append,range_scan,3,38.112,39.697,rust-go-binding,1.042
10000000,fresh,append,write,3,552.892,14754.259,rust-go-binding,26.686
10000000,fresh,clustered,point_read,3,1170.971,1755.596,rust-go-binding,1.499
10000000,fresh,clustered,range_scan,3,38.345,40.477,rust-go-binding,1.056
10000000,fresh,clustered,write,3,660.143,7387.386,rust-go-binding,11.191
10000000,fresh,random,point_read,3,1180.665,1539.180,rust-go-binding,1.304
10000000,fresh,random,range_scan,3,38.670,39.108,rust-go-binding,1.011
10000000,fresh,random,write,3,1041.671,9351.987,rust-go-binding,8.978
10000000,mutation,append,point_read,3,334.762,680.338,rust-go-binding,2.032
10000000,mutation,append,range_scan,3,38.646,42.632,rust-go-binding,1.103
10000000,mutation,append,write,3,576.383,4686.648,rust-go-binding,8.131
10000000,mutation,clustered,point_read,3,314.557,696.723,rust-go-binding,2.215
10000000,mutation,clustered,range_scan,3,38.554,40.723,rust-go-binding,1.056
10000000,mutation,clustered,write,3,800.438,4430.743,rust-go-binding,5.535
10000000,mutation,random,point_read,3,1311.138,2373.456,rust-go-binding,1.810
10000000,mutation,random,range_scan,3,39.117,39.260,rust-go-binding,1.004
10000000,mutation,random,write,3,2967.447,5644.548,rust-go-binding,1.902
