suite,target,records,api,pattern,pairs,samples_per_revision_pair,paired_median_latency_change_pct,paired_median_latency_change_ns,paired_median_throughput_change_pct,paired_median_p50_change_pct,paired_median_p50_change_ns,paired_median_p95_change_pct,paired_median_p95_change_ns,status,reasons
foundation,async_over_sync,10000,batch,,20,1,0.0417469774975415,125.0,-0.04122337293259237,0.0417469774975415,125.0,-0.25434539650132426,-916.5,pass,
foundation,async_over_sync,10000,build,,20,1,0.34972282853701675,167.0,-0.34850357240108315,0.34972282853701675,167.0,2.343034423486462,1396.0,pass,
foundation,async_over_sync,10000,delete,,20,1,-0.9982792506135839,-1041.5,1.0086062560778546,-0.9982792506135839,-1041.5,-2.4583530133835936,-3062.5,pass,
foundation,async_over_sync,10000,forward,,20,1,1.9081796059837381,1437.5,-1.8715806661346543,1.9081796059837381,1437.5,4.192474134848954,3771.0,pass,
foundation,async_over_sync,10000,merge,,20,1,0.29235365178867595,812.5,-0.29147126182056243,0.29235365178867595,812.5,0.5810122173864454,1875.5,pass,
foundation,async_over_sync,10000,put,,20,1,-0.3452770151828025,-833.0,0.3474556240986809,-0.3452770151828025,-833.0,-0.5436173580436854,-1500.0,pass,
foundation,async_over_sync,10000,range-delete,,20,1,-0.6815842628676296,-2666.0,0.6862952796359671,-0.6815842628676296,-2666.0,-1.184591703120739,-5375.5,pass,
foundation,native_async,10000,batch,,20,1,0.04291904667222417,125.5,-0.04286873782571153,0.04291904667222417,125.5,-0.5240277619389657,-1792.0,pass,
foundation,native_async,10000,build,,20,1,0.3092302835846914,146.0,-0.30825763529659445,0.3092302835846914,146.0,1.312221627339899,750.0,pass,
foundation,native_async,10000,delete,,20,1,-0.47679218444155236,-500.0,0.4790765591672449,-0.47679218444155236,-500.0,0.8812879693453166,1104.0,pass,
foundation,native_async,10000,forward,,20,1,4.053763738569426,3124.5,-3.895065897448702,4.053763738569426,3124.5,3.357244581615133,3042.5,pass,
foundation,native_async,10000,merge,,20,1,-0.4331129961821579,-1209.0,0.43517276802606375,-0.4331129961821579,-1209.0,-0.07808493718112695,-249.0,pass,
foundation,native_async,10000,put,,20,1,0.13838520774417876,333.0,-0.13819973544666145,0.13838520774417876,333.0,0.6659661569816617,1854.0,pass,
foundation,native_async,10000,range-delete,,20,1,-2.2181393936397855,-8729.0,2.268460553483319,-2.2181393936397855,-8729.0,-2.182624722927881,-9875.0,pass,
foundation,sync_ready,10000,batch,,20,1,-0.2131369207449803,-83.5,0.21359188034009385,-0.2131369207449803,-83.5,1.1059889112253136,499.5,pass,
foundation,sync_ready,10000,build,,20,1,0.6192076850418351,291.5,-0.6153262989455806,0.6192076850418351,291.5,0.9765405212077788,583.0,pass,
foundation,sync_ready,10000,delete,,20,1,-0.5079429837215568,-104.0,0.5106440751872137,-0.5079429837215568,-104.0,-2.659899776345285,-645.5,pass,
foundation,sync_ready,10000,forward,,20,1,1.1356979795918254,874.5,-1.1229356897111424,1.1356979795918254,874.5,1.2316043071267724,1104.5,pass,
foundation,sync_ready,10000,merge,,20,1,-0.39802529601038983,-229.0,0.3997358739795506,-0.39802529601038983,-229.0,3.8544566182491593,2667.0,pass,
foundation,sync_ready,10000,put,,20,1,0.1922260745508535,62.5,-0.1908275751096989,0.1922260745508535,62.5,-2.253186693132684,-896.0,pass,
foundation,sync_ready,10000,range-delete,,20,1,-0.9875235660175568,-688.0,0.9977256746296852,-0.9875235660175568,-688.0,-2.336323425797409,-1875.0,pass,
