records,density,locality,operation,relationship,runs,median_ns,median_ns_per_op,median_ops_per_sec,cv_percent,result_count
1000000,0,none,head_resolve,read,3,9886000,988.6,1011531.459,2.4630988650493824,10000
1000000,0,none,historical_point_read,read,3,434612584,4346.126,230089.978,0.2086878567668537,100000
1000000,0,none,historical_range_scan,read,3,522691333,174.23,5739525.052,0.4673885624496588,3000000
1000000,0,none,retention_prune,prune,3,212375,2123.75,470865.215,3.2210780240389223,11
1000000,0,none,rollback,rollback,3,3677417,3677.417,271929.999,1.662916454060891,1000
1000000,0,none,snapshot_resolve,read,3,3902458,1951.229,512497.508,0.2750834965718451,2000
1000000,0,none,version_list,read,3,9818042,981.804,1018533.023,1.5323752475353543,10000
1000000,1,append,version_publish,publish,3,4577250,457.725,2184717.898,2.1498249234892146,1010000
1000000,1,clustered,version_publish,publish,3,11451791,1145.179,873225.856,0.36623496367969116,1000000
1000000,1,random,version_publish,publish,3,495108292,49510.829,20197.602,1.2668538769474973,1000000
1000000,30,append,version_publish,publish,3,127145209,423.817,2359506.916,0.6925791848268354,1300000
1000000,30,clustered,version_publish,publish,3,261359542,871.198,1147844.068,0.25704881067921237,1000000
1000000,30,random,version_publish,publish,3,569805959,1899.353,526495.02,0.6536211061467962,1000000
