schema,records,api,pattern,repetitions,configured_changes,sqlite_latency_median_ns,sqlite_latency_min_ns,sqlite_latency_max_ns,sqlite_throughput_median_ops_sec,sqlite_throughput_min_ops_sec,sqlite_throughput_max_ops_sec,sqlite_p50_ns_median,sqlite_p95_ns_median,sqlite_p99_ns_median,sqlite_max_ns_median,turso_latency_median_ns,turso_latency_min_ns,turso_latency_max_ns,turso_throughput_median_ops_sec,turso_throughput_min_ops_sec,turso_throughput_max_ops_sec,turso_p50_ns_median,turso_p95_ns_median,turso_p99_ns_median,turso_max_ns_median,turso_over_sqlite_latency_ratio,turso_over_sqlite_throughput_ratio
sqlite-turso-local-v1,10000,batch,append,1,100,1658958.0,1658958,1658958,60278.8015127568,60278.8015127568,60278.8015127568,,,,,1247875.0,1247875,1247875,80136.23159370931,80136.23159370931,80136.23159370931,,,,,0.752204094377314,1.3294264249223682
sqlite-turso-local-v1,10000,batch,clustered,1,100,1327375.0,1327375,1327375,75336.66070251436,75336.66070251436,75336.66070251436,,,,,1659250.0,1659250,1659250,60268.193460901006,60268.193460901006,60268.193460901006,,,,,1.2500235427064694,0.7999849329516348
sqlite-turso-local-v1,10000,batch,random,1,100,6154458.0,6154458,6154458,16248.384504370653,16248.384504370653,16248.384504370653,,,,,9312333.0,9312333,9312333,10738.447604912753,10738.447604912753,10738.447604912753,,,,,1.5131036721673947,0.6608932476963614
sqlite-turso-local-v1,10000,diff,append,1,100,134167.0,134167,134167,745339.7631310233,745339.7631310233,745339.7631310233,,,,,212125.0,212125,212125,471420.1532115498,471420.1532115498,471420.1532115498,,,,,1.5810519725416832,0.63249027695934
sqlite-turso-local-v1,10000,diff,clustered,1,100,330500.0,330500,330500,302571.86081694404,302571.86081694404,302571.86081694404,,,,,613875.0,613875,613875,162899.61311341886,162899.61311341886,162899.61311341886,,,,,1.857413010590015,0.5383832213398493
sqlite-turso-local-v1,10000,diff,random,1,100,4114083.0,4114083,4114083,24306.753169539847,24306.753169539847,24306.753169539847,,,,,6434000.0,6434000,6434000,15542.430836182779,15542.430836182779,15542.430836182779,,,,,1.5638964989281938,0.6394285048181535
sqlite-turso-local-v1,10000,merge,append,1,100,578667.0,578667,578667,345621.92072470003,345621.92072470003,345621.92072470003,,,,,1435333.0,1435333,1435333,139340.48753843186,139340.48753843186,139340.48753843186,,,,,2.4804127416977293,0.4031587095120088
sqlite-turso-local-v1,10000,merge,clustered,1,100,271958.0,271958,271958,735407.6732436626,735407.6732436626,735407.6732436626,,,,,1943375.0,1943375,1943375,102913.74541712228,102913.74541712228,102913.74541712228,,,,,7.145864434949514,0.13994108188074872
sqlite-turso-local-v1,10000,merge,random,1,100,9950042.0,9950042,9950042,20100.417666578694,20100.417666578694,20100.417666578694,,,,,15014709.0,15014709,15014709,13320.271475124826,13320.271475124826,13320.271475124826,,,,,1.5090096102106905,0.6626863031444699
sqlite-turso-local-v1,10000,put,append,1,100,14486208.0,14486208,14486208,6903.117779338802,6903.117779338802,6903.117779338802,126167.0,187125.0,194958.0,1644709.0,96556042.0,96556042,96556042,1035.667969902909,1035.667969902909,1035.667969902909,902334.0,1236042.0,1432541.0,2380000.0,6.665377302327842,0.1500290163095128
sqlite-turso-local-v1,10000,put,clustered,1,100,11312458.0,11312458,11312458,8839.811825157716,8839.811825157716,8839.811825157716,90542.0,209208.0,340792.0,1245958.0,85836250.0,85836250,85836250,1165.0089560063493,1165.0089560063493,1165.0089560063493,811458.0,1099125.0,1190083.0,1260833.0,7.5877629777719395,0.13179114884445672
sqlite-turso-local-v1,10000,put,random,1,100,24485500.0,24485500,24485500,4084.0497437258787,4084.0497437258787,4084.0497437258787,184750.0,325125.0,1753458.0,4178209.0,100090792.0,100090792,100090792,999.0929035709898,999.0929035709898,999.0929035709898,952667.0,1275250.0,1565709.0,2445209.0,4.087757734169202,0.24463289290387472
