records,operation,pattern,cache_state,repetitions,median_total_ns,min_total_ns,max_total_ns,median_ns_per_operation,median_operations_per_sec,min_operations_per_sec,max_operations_per_sec
1000000,put,append,not-applicable,3,4412833,3676625,5362833,4412833.0,226.61179337627325,186.46860717087404,271.9885764797878
1000000,put,random,not-applicable,3,6212458,5728792,6427208,6212458.0,160.9668829954263,155.58855415913098,174.5568699299957
1000000,put,clustered,not-applicable,3,7331000,6059333,8043875,7331000.0,136.40703860319192,124.3181924134823,165.0346663568416
1000000,batch,append,not-applicable,3,385804583,363420625,408832708,1286.0152766666668,777595.7394471905,733796.4750119748,825489.747589312
1000000,batch,random,not-applicable,3,2294662792,2255847042,2634603375,7648.875973333334,130738.1638147031,113869.13219907341,132987.74004376846
1000000,batch,clustered,not-applicable,3,804853042,801392291,921987542,2682.8434733333333,372738.853362003,325384.0061105728,374348.49744517944
1000000,get_cold,append,cold-manager,3,1666248334,1639532042,1681741834,166624.8334,6001.506375699698,5946.2158803620505,6099.301351745098
1000000,get_cold,random,cold-manager,3,2092910709,1889972708,2521154500,209291.0709,4778.034704011829,3966.436805043086,5291.0816953447775
1000000,get_cold,clustered,cold-manager,3,1766282834,1723564417,3407206708,176628.2834,5661.60742068334,2934.955480253181,5801.929943184711
1000000,get_warm,append,warm-manager,3,2458709,2444958,5619584,245.8709,4067175.090667501,1779491.1509464046,4090049.8086265693
1000000,get_warm,random,warm-manager,3,6919333,6800125,9497875,691.9333,1445226.0066107528,1052867.0886908914,1470561.202919064
1000000,get_warm,clustered,warm-manager,3,2431083,2366333,2493667,243.1083,4113393.0844812784,4010158.533597308,4225947.911811229
1000000,query,append,not-applicable,3,22427584,16215833,29255084,2242.7584,445879.50266956975,341820.92931266234,616681.239872167
1000000,query,random,not-applicable,3,699078417,631181208,1129623250,69907.8417,14304.546896060161,8852.509011300892,15843.310721633525
1000000,query,clustered,not-applicable,3,25109125,24864084,52629417,2510.9125,398261.58816764824,190007.80495060395,402186.5434495797
1000000,scan,append,not-applicable,3,40831959,39033292,85878625,4083.1959,244906.20202670168,116443.4106857207,256191.56078354857
1000000,scan,random,not-applicable,3,29847208,27869875,42419875,2984.7208,335039.7129272527,235738.5541565127,358810.364237371
1000000,scan,clustered,not-applicable,3,31107709,29789416,41347750,3110.7709,321463.724634945,241851.1285378285,335689.6959644996
1000000,full_scan,append,not-applicable,3,3282179750,3083290125,3895747917,3282.17975,304675.5742125336,256690.11992184297,324328.8693113172
1000000,diff,append,not-applicable,3,134135334,130081000,142283458,447.11778,2236547.157663916,2108467.1698097186,2306255.333215458
1000000,diff,random,not-applicable,3,1121914959,960895917,1155922042,3739.71653,267399.94648738793,259533.0732520109,312208.6322695864
1000000,diff,clustered,not-applicable,3,331954208,316943541,401821584,1106.5140266666667,903739.1084977601,746600.0134029634,946540.8225498433
1000000,merge,append,not-applicable,3,222415750,219216917,592504917,741.3858333333334,1348825.3417305204,506324.9120681981,1368507.5226197073
1000000,merge,random,not-applicable,3,34002222708,32139320750,38025322250,113340.74236,8822.952622135976,7889.479490209974,9334.360310026153
1000000,merge,clustered,not-applicable,3,5577291,5305458,5794625,18.59097,53789554.82150743,51772116.40097504,56545542.3452603
